audio_file|text|speaker_name
data/speaker3/speaker3_001.wav|Es war einmal ein Mann und eine Frau, die wünschten sich schon lange vergeblich ein Kind.|speaker3
data/speaker3/speaker3_002.wav|Endlich machte sich die Frau Hoffnung, der liebe Gott werde ihren Wunsch erfüllen.|speaker3
data/speaker3/speaker3_003.wav|Die Leute hatten in ihrem Hinterhaus ein kleines Fenster, daraus konnte man in einen prächtigen Garten sehen, der voll der schönsten Blumen und Kräuter stand.|speaker3
data/speaker3/speaker3_004.wav|Er war aber von einer hohen Mauer umgeben und niemand wagte hineinzugehen, weil er einer Zauberin gehörte.|speaker3
data/speaker3/speaker3_005.wav|Eines Tages stand die Frau an diesem Fenster und sah in den Garten hinab, da erblickte sie ein Beet das mit den schönsten Rapunzeln bepflanzt war.|speaker3
data/speaker3/speaker3_006.wav|Und sie sahen so frisch und grün dass sie lüstern ward und das größte Verlangen empfand, von den Rapunzeln zu essen.|speaker3
data/speaker3/speaker3_007.wav|Das Verlangen nahm jeden Tag zu und da sie wusste dass sie keine davon bekommen könnte, fiel sie ganz ab, sah blass und elend aus.|speaker3
data/speaker3/speaker3_008.wav|Da erschrak der Mann und fragte: Was fehlt dir, liebe Frau? Ach, antwortete sie.|speaker3
data/speaker3/speaker3_009.wav|Wenn ich keine Rapunzel aus dem Garten hinter unserem Haus zu essen kriege, so sterbe ich.|speaker3
data/speaker3/speaker3_010.wav|In der Abenddämmerung stieg er also über die Mauer in den Garten der Zauberin, stach in aller Eile eine Handvoll Rapunzeln und brachte sie seiner Frau.|speaker3
data/speaker3/speaker3_011.wav|Sie machte sich sogleich Salat und aß sie voller Begierde auf.|speaker3
data/speaker3/speaker3_012.wav|Sie hatten ihr aber so gut, so gut geschmeckt, dass sie den anderen noch dreimal so viel Lust bekam.|speaker3
data/speaker3/speaker3_013.wav|Sollte sie Ruhe haben, so musste der Mann noch einmal in den Garten steigen.|speaker3
data/speaker3/speaker3_014.wav|Er machte sich in der Abenddämmerung wieder hinab, als er aber die Mauer herabgeklettert war, erschrak er gewaltig, denn er sah die Zauberin vor sich stehen.|speaker3
data/speaker3/speaker3_015.wav|Und als die Frau in Wochen kam, so erschien sogleich die Zauberin, gab dem Kinde den Namen Rapunzel, und nahm es mit sich fort.|speaker3
data/speaker3/speaker3_016.wav|Rapunzel war das schönste Kind unter der Sonne.|speaker3
data/speaker3/speaker3_017.wav|Als es zwölf Jahre alt war, schloss es die Zauberin in einen Turm, der im Walde lag und weder Treppen noch Türe hatte, nur ganz oben war ein kleines Fensterchen.|speaker3
data/speaker3/speaker3_018.wav|Rapunzel hatte lange prächtige Haare, fein wie gesponnen Gold.|speaker3
data/speaker3/speaker3_019.wav|Wenn sie nun die Stimme der Zauberin vernahm, so band sie ihre Zöpfe los, wickelte sie oben um einen Fensterhaken und dann fielen die Haare zwanzig Ellen tief herunter.|speaker3
data/speaker3/speaker3_020.wav|Nach ein paar Jahren trug es sich zu, dass der Sohn des Königs durch den Wald ritt und an dem Turm vorüberkam.|speaker3
data/speaker3/speaker3_021.wav|Da hörte er einen Gesang, der war so lieblich, dass er stillhielt und horchte.|speaker3
data/speaker3/speaker3_022.wav|Das war Rapunzel, die in ihrer Einsamkeit sich die Zeit damit vertrieb, ihre süße Stimme erschallen zu lassen.|speaker3
data/speaker3/speaker3_023.wav|Der Königssohn wollte zu ihr heraufsteigen und suchte nach einer Türe des Turms, aber es war keine zu finden.|speaker3
data/speaker3/speaker3_024.wav|Ist das die Leiter, auf welche man hinaufkommt, so will ich auch einmal mein Glück versuchen.|speaker3
data/speaker3/speaker3_025.wav|Ich will gerne mit dir gehen, aber ich weiß nicht, wie ich herabkommen kann.|speaker3
data/speaker3/speaker3_026.wav|So bringe jedesmal einen Strang Seide mit.|speaker3
data/speaker3/speaker3_027.wav|Daraus will ich eine Leiter flechten, und wenn die fertig ist, so steige ich herunter und du nimmst mich auf dein Pferd.|speaker3
